epoch,open,high,low,close
1779746400,1.16398,1.16426,1.1639,1.1641
1779750000,1.16409,1.16434,1.16358,1.16359
1779753600,1.1636,1.16399,1.1634,1.16387
1779757200,1.16388,1.16398,1.16304,1.16339
1779760800,1.16338,1.16352,1.16312,1.1634
1779764400,1.1634,1.16374,1.16338,1.1636
1779768000,1.16358,1.1636,1.16294,1.16298
1779771600,1.16297,1.16308,1.16274,1.1628
1779775200,1.16281,1.16376,1.16273,1.16352
1779778800,1.16354,1.16404,1.1624,1.16371
1779782400,1.16372,1.16422,1.16344,1.16365
1779786000,1.16366,1.16441,1.16325,1.16428
1779789600,1.16428,1.16452,1.16377,1.16415
1779793200,1.16416,1.16449,1.16333,1.16348
1779796800,1.16346,1.16366,1.16312,1.1632
1779800400,1.16318,1.16331,1.16172,1.16258
1779804000,1.16258,1.16299,1.16214,1.16251
1779807600,1.1625,1.16258,1.16164,1.16194
1779811200,1.16196,1.16296,1.16196,1.1624
1779814800,1.1624,1.16278,1.16214,1.1624
1779818400,1.1624,1.1631,1.16234,1.16296
1779822000,1.16292,1.16326,1.16274,1.1632
1779825600,1.1632,1.1633,1.16304,1.16317
1779829200,1.16286,1.16324,1.16276,1.16308
1779832800,1.1631,1.16338,1.1631,1.16335
1779836400,1.16334,1.16399,1.16334,1.16366
1779840000,1.16365,1.16406,1.1636,1.16381
1779843600,1.1638,1.16394,1.16327,1.1634
1779847200,1.1634,1.16386,1.1634,1.16384
1779850800,1.16385,1.16426,1.16369,1.16388
1779854400,1.16388,1.16424,1.16384,1.16413
1779858000,1.16412,1.16446,1.16388,1.16395
1779861600,1.16396,1.16494,1.16374,1.16456
1779865200,1.16458,1.1649,1.16402,1.16405
1779868800,1.16406,1.16472,1.16384,1.1645
1779872400,1.16448,1.16486,1.16426,1.16446
1779876000,1.16446,1.16448,1.16361,1.16392
1779879600,1.16394,1.16419,1.1633,1.16376
1779883200,1.16377,1.16615,1.16346,1.1644
1779886800,1.16439,1.16482,1.16377,1.16414
1779890400,1.16414,1.16523,1.16249,1.16256
1779894000,1.16255,1.16364,1.16225,1.16302
1779897600,1.16305,1.16328,1.16242,1.16324
1779901200,1.16324,1.1633,1.16222,1.16272
1779904800,1.16272,1.16304,1.16226,1.16294
1779908400,1.16294,1.1632,1.16268,1.16288
1779912000,1.16286,1.16305,1.16256,1.16258
1779915600,1.1628,1.16312,1.16266,1.16291
1779919200,1.16286,1.16305,1.1626,1.16262
1779922800,1.1626,1.16288,1.16162,1.16176
1779926400,1.16176,1.16235,1.16166,1.16206
1779930000,1.16206,1.16212,1.16094,1.161
1779933600,1.161,1.16152,1.16096,1.16126
1779937200,1.16126,1.16138,1.15872,1.15872
1779940800,1.15872,1.15928,1.15864,1.15918
1779944400,1.15918,1.16021,1.15891,1.15994
1779948000,1.15993,1.16122,1.15987,1.16102
1779951600,1.16104,1.16178,1.161,1.16118
1779955200,1.16118,1.16169,1.16066,1.16156
1779958800,1.16157,1.16192,1.1613,1.16132
1779962400,1.1613,1.16156,1.16037,1.16037
1779966000,1.16036,1.16228,1.16034,1.1617
1779969600,1.16168,1.16384,1.16157,1.16366
1779973200,1.16367,1.16432,1.16291,1.16306
1779976800,1.16304,1.1658,1.1627,1.16478
1779980400,1.16478,1.1657,1.16477,1.16481
1779984000,1.1648,1.16614,1.16454,1.16569
1779987600,1.1657,1.16574,1.16508,1.16534
1779991200,1.16532,1.16554,1.16466,1.1648
1779994800,1.16477,1.16516,1.16464,1.16477
1779998400,1.16476,1.16498,1.1645,1.16497
1780002000,1.16522,1.16536,1.16512,1.1652
1780005600,1.16519,1.16522,1.165,1.16504
1780009200,1.16504,1.16532,1.16504,1.16526
1780012800,1.16525,1.16556,1.16475,1.16488
1780016400,1.16489,1.16566,1.16434,1.16446
1780020000,1.16446,1.16492,1.16436,1.1645
1780023600,1.1645,1.1645,1.1636,1.16373
1780027200,1.16372,1.16394,1.16343,1.16391
1780030800,1.16392,1.16436,1.16382,1.16421
1780034400,1.16422,1.16544,1.16422,1.16535
1780038000,1.16534,1.16534,1.16378,1.16422
1780041600,1.16418,1.16418,1.1625,1.16283
1780045200,1.16282,1.16428,1.16266,1.16415
1780048800,1.16416,1.16452,1.1638,1.16431
