epoch,open,high,low,close
1781111700,1.1551,1.15517,1.1549,1.15497
1781112000,1.15498,1.15509,1.15486,1.15506
1781112300,1.15506,1.15512,1.15496,1.15496
1781112600,1.15496,1.15496,1.15478,1.15492
1781112900,1.15491,1.15492,1.15462,1.15463
1781113200,1.15464,1.15473,1.15447,1.15452
1781113500,1.15453,1.15504,1.15448,1.15502
1781113800,1.15502,1.15519,1.15469,1.15514
1781114100,1.15514,1.15533,1.15507,1.15525
1781114400,1.15526,1.15576,1.15524,1.15574
1781114700,1.15576,1.15577,1.15556,1.15567
1781115000,1.1557,1.15576,1.15541,1.15541
1781115300,1.15542,1.15547,1.15513,1.15525
1781115600,1.15526,1.15532,1.15503,1.15514
1781115900,1.15516,1.15526,1.15505,1.15508
1781116200,1.1551,1.15515,1.15506,1.15508
1781116500,1.15506,1.1551,1.15486,1.155
1781116800,1.155,1.15508,1.15497,1.15502
1781117100,1.15502,1.15521,1.155,1.15508
1781117400,1.15508,1.15508,1.15483,1.15503
1781117700,1.15502,1.15505,1.15482,1.15483
1781118000,1.15484,1.15488,1.15457,1.1546
1781118300,1.15461,1.15468,1.15451,1.15454
1781118600,1.15454,1.15461,1.15436,1.15438
1781118900,1.1544,1.15447,1.15429,1.15442
1781119200,1.15441,1.15444,1.15432,1.15435
1781119500,1.15434,1.15444,1.15429,1.15438
1781119800,1.15438,1.15454,1.15435,1.15452
1781120100,1.15451,1.15453,1.15442,1.15451
1781120400,1.15451,1.15472,1.15447,1.15468
1781120700,1.15468,1.15469,1.15441,1.15454
1781121000,1.15452,1.15467,1.15436,1.15436
1781121300,1.15433,1.15433,1.15412,1.15414
1781121600,1.15414,1.15415,1.15396,1.15396
1781121900,1.15398,1.15401,1.15379,1.15382
1781122200,1.15382,1.15386,1.15372,1.15374
1781122500,1.15374,1.15383,1.1537,1.15383
1781122800,1.15382,1.15394,1.15378,1.1539
1781123100,1.1539,1.15399,1.15388,1.15392
1781123400,1.15392,1.154,1.15388,1.15392
1781123700,1.15392,1.15398,1.1539,1.15392
1781124000,1.15392,1.15392,1.15356,1.15366
1781124300,1.15366,1.15372,1.15353,1.15356
1781124600,1.15355,1.15362,1.15351,1.15358
1781124900,1.15356,1.15362,1.1535,1.15357
1781125200,1.15366,1.15366,1.15366,1.15366
1781125500,1.15365,1.15372,1.1536,1.15372
1781125800,1.15378,1.15398,1.15378,1.15394
1781126100,1.15392,1.15394,1.15384,1.15384
1781126400,1.15384,1.15384,1.15384,1.15384
1781126700,1.15384,1.15407,1.15366,1.15367
1781127000,1.15363,1.1537,1.1536,1.15369
1781127300,1.1537,1.15378,1.15368,1.15376
1781127600,1.15376,1.15376,1.15376,1.15376
1781127900,1.15374,1.15382,1.15364,1.15364
1781128200,1.15364,1.15375,1.15358,1.15362
1781128500,1.15362,1.15362,1.15354,1.15358
1781128800,1.15358,1.15361,1.15298,1.15307
1781129100,1.15308,1.15308,1.1529,1.15299
1781129400,1.15298,1.15304,1.15284,1.15304
1781129700,1.15304,1.15306,1.1529,1.15302
1781130000,1.15301,1.15301,1.15287,1.15295
1781130300,1.15294,1.15318,1.15294,1.15308
1781130600,1.15308,1.15332,1.15306,1.15326
1781130900,1.15326,1.15347,1.15324,1.15342
1781131200,1.15342,1.1536,1.1532,1.15344
1781131500,1.15342,1.15368,1.15342,1.15352
1781131800,1.15353,1.15354,1.15332,1.15333
